バーコード,品名,備考,価格
4953823868097 ,もな王,アイス,150
4901006211260 ,ゴールドあずきバー,アイス,150
4902720146357 ,パルムコクショコラアンドミックスベリー,アイス,150
4978002070597 ,おいももなか,アイス,150
45205842 ,クーリッシュメロンソーダフロート,アイス,150
4582276683515 ,白峰温泉の素,お土産,750
4991567292037 ,ご当地キティ,お土産,550
4994869303500 ,りんごジャム入り飴,食品,380
4994869303500 ,かりんのど飴,食品,380
4994869303531 ,大根のど飴生姜入り,食品,380
4994869803758 ,本べっこうあめ,食品,380
4975275602500 ,ごぼうがし,食品,380
4994869802997 ,根昆布おやつ,食品,380
4902451811463 ,ミックスおかき,食品,324
4972334570657 ,コモぱん,食品,150
4965520013755 ,パイ畑パンプキン,食品,108
4965520013748 ,パイ畑スイートポテト,食品,108
4965520013700 ,パイ畑あずき,食品,108
4903023310018 ,栗まんじゅう,食品,140
4903023310117 ,栗まん,食品,140
4030000000025 ,水まんじゅう,食品,130
4030000000026 ,水まんじゅう白桃,食品,130
4030000000027 ,栃の味せんべい,食品,170
4030000000028 ,栃の味せんべい 箱入 6袋入,食品,1270
4030000000029 ,栃の味せんべい 箱入12袋入,食品,2290
4030000000030 ,栃蜜カステラ 1個,食品,120
4030000000031 ,栃蜜カステラ 1本,食品,1200
4030000000032 ,ガトーマロニエ 1個,食品,140
4030000000033 ,ガトーマロニエ 1本,食品,1400
4030000000034 ,プリン,食品,180
4030000000035 ,シュークリーム,食品,80
4030000000036 ,プティトチシュー,食品,80
4030000000037 ,苺のシートケーキ,食品,340
4030000000038 ,モンブラン,食品,340
4030000000039 ,桃の米ロールケーキ,食品,310
4030000000040 ,チョコレートケーキ,食品,310
4030000000041 ,クロモジロール,食品,300
4030000000042 ,洋梨タルト,食品,260
4030000000043 ,チーズケーキ,食品,230
4030000000044 ,栃餅 1個,食品,150
4030000000045 ,栃餅 5ヶ入,食品,750
4030000000046 ,栃餅 10ヶ入,食品,1500
